#header
WIDTH 20
HEIGHT 20
#data
-1,-1,-1,-1,-1,-1,-1,-1,81526837,-1,82051127,82051127,82051127,82051127,81526837,82051127,81526837,82051127,-1,82051127,
-1,-1,-1,-1,-1,-1,81526837,-1,-1,-1,-1,82051127,82051127,-1,-1,-1,-1,82051127,-1,-1,
-1,-1,-1,81526837,81526837,-1,-1,-1,-1,-1,-1,82051127,-1,-1,-1,-1,-1,-1,82051127,-1,
-1,-1,81526837,81526837,-1,-1,82051127,82051127,82051127,82051127,82051127,82051127,82051127,-1,-1,-1,-1,-1,-1,82051127,
-1,-1,81526837,-1,82051127,82051127,-1,81526837,82051127,82051127,82051127,82051127,-1,82051127,82051127,82051127,-1,-1,-1,-1,
-1,81526837,81526837,-1,82051127,81526837,81526837,82051127,82051127,81526837,82051127,-1,-1,82051127,82051127,82051127,-1,-1,-1,-1,
-1,-1,81526837,82051127,81526837,82051127,81526837,82051127,82051127,82051127,81526837,81526837,81526837,82051127,82051127,-1,82051127,82051127,-1,82051127,
81526837,-1,82051127,81526837,-1,81526837,-1,82051127,82051127,-1,82051127,-1,82051127,82051127,-1,81526837,-1,-1,-1,82051127,
-1,-1,82051127,-1,-1,82051127,82051127,82051127,-1,82051127,82051127,-1,-1,-1,-1,81526837,81526837,-1,82051127,-1,
81526837,81526837,82051127,-1,82051127,82051127,82051127,82051127,-1,82051127,81526837,82051127,-1,81526837,-1,81526837,-1,82051127,82051127,-1,
81526837,82051127,82051127,82051127,82051127,82051127,82051127,82051127,-1,82051127,81526837,-1,-1,-1,-1,-1,-1,-1,-1,-1,
82051127,82051127,82051127,-1,81526837,82051127,81526837,82051127,82051127,81526837,82051127,-1,-1,-1,-1,-1,-1,82051127,-1,-1,
81526837,81526837,82051127,-1,82051127,82051127,-1,-1,82051127,82051127,82051127,-1,82051127,-1,-1,-1,82051127,-1,-1,-1,
-1,-1,-1,82051127,81526837,82051127,-1,-1,-1,-1,-1,82051127,82051127,82051127,-1,-1,82051127,-1,-1,-1,
-1,-1,82051127,-1,82051127,81526837,82051127,82051127,-1,-1,-1,-1,-1,-1,82051127,-1,-1,82051127,82051127,81526837,
-1,-1,82051127,-1,-1,82051127,81526837,-1,-1,-1,-1,-1,-1,-1,-1,-1,82051127,-1,-1,82051127,
-1,-1,82051127,-1,82051127,-1,81526837,-1,-1,-1,-1,82051127,-1,-1,-1,82051127,-1,-1,82051127,-1,
82051127,82051127,82051127,-1,82051127,-1,-1,82051127,-1,-1,82051127,-1,-1,-1,81526837,81526837,-1,-1,-1,-1,
-1,-1,-1,-1,82051127,-1,-1,-1,81526837,-1,81526837,81526837,81526837,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,82051127,-1,-1,-1,-1,82051127,-1,-1,-1,-1,-1,-1,-1,
